Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,,,,,,,,,,,
,6,46,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
,6,47,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
,6,48,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
,6,49,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
,6,50,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
,6,51,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
,6,52,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
XC156783,6,53,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
,6,54,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
,6,55,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
,6,56,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
,6,57,bbbbbbbbbbbii,b,b,b,b,b,b,b,b,b,b,b,i,i,,,,,,,
AV5607,7,58,aaaaaabbbb,a,a,a,a,a,a,b,b,b,b,,,,,,,,,,
,7,59,aaaaaabbbb,a,a,a,a,a,a,b,b,b,b,,,,,,,,,,
,7,60,aaaaaaaabbbb,a,a,a,a,a,a,a,a,b,b,b,b,,,,,,,,
AV7657,8,61,bbbbbbbbbbbbbiii,b,b,b,b,b,b,b,b,b,b,b,b,b,i,i,i,,,,
,8,62,bbbbbbbbbbbbbiii,b,b,b,b,b,b,b,b,b,b,b,b,b,i,i,i,,,,
